order_id,order_code,order_type,freight_long,freight_width,freight_high,freight_volume,freight_weight,freight_number,order_noticed,send_province_code,send_province_name,send_city_code,send_city_name,send_area_code,send_area_name,send_address,send_address_lng,send_address_lat,receive_province_code,receive_province_name,receive_city_code,receive_city_name,receive_area_code,receive_area_name,receive_address,receive_address_lng,receive_address_lat,goods_type,order_delivery_status,order_end_time,sign_date,status,create_user,create_time,update_user,update_time
1,AJ25081816153500003,0,0,0,0,12.05,5091.64,539,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420112.0,东西湖区,湖北省武汉市东西湖区金山南路京东嘉逸仓储物流园3号库一楼（新通路武汉京喜仓）,114.0683098,30.64163077,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
2,AJ25081816153500004,0,0,0,0,0.62,276.0,15,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420103.0,江汉区,武汉市江汉区解放大道690号武汉国际广场负一层,114.2777095,30.58474234,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
3,AJ25081816153500005,0,0,0,0,0.68,257.6,19,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420102.0,江岸区,惠济路2号,114.2947456,30.61218389,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
4,AJ25081816153500006,0,0,0,0,0.01,3.17,1,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420104.0,硚口区,1023越秀中百生活剧场武汉市硚口区中山大道1号星汇维港购物中心F1,114.2563056,30.57487061,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
5,AJ25081816153500007,0,0,0,0,0.23,105.2,7,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420112.0,东西湖区,东西湖吴家山,114.1599958,30.63512335,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
6,AJ25081816153500008,0,0,0,0,0.03,12.0,1,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420102.0,江岸区,武汉江岸后湖街世纪花园,114.2731715,30.61355212,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
7,AJ25081816153500009,0,0,0,0,0.04,5.98,1,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420103.0,江汉区,湖北省武汉市江汉区新华路38号越秀·国际金融汇中百仓储越秀国金店,114.2848327,30.5936667,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
8,AJ25081816153500010,0,0,0,0,0.07,27.4,3,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420102.0,江岸区,惠济路2号,114.2947456,30.61218389,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
9,AJ25081816153500011,0,0,0,0,0.01,6.1,2,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420104.0,硚口区,武汉市硚口区解放大道48号,114.2065993,30.60083717,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
10,AJ25081816153500012,0,0,0,0,0.17,76.2,6,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420102.0,江岸区,惠济路2号,114.2947456,30.61218389,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
11,AJ25081816153500013,0,0,0,0,0.02,5.13,1,0,,,,,,,,,,42.0,湖北省,4201.0,武汉市,420106.0,武昌区,1030首义路购物广场武汉市武昌区紫阳路268号88059490,114.3155739,30.53751391,,1.0,,,0.0,admin,2025-08-18 16:15:35,admin,2025-08-19 10:35:19
